INFO  | 2025-01-29 12:50:33 | [main] boot.StartupInfoLogger (StartupInfoLogger.java:50) - Starting ProductappApplication using Java 21.0.2 with PID 27248 (C:\Korber_java_backend_25_code\week3\spring_boot_again\productapp\target\classes started by busyc in C:\Korber_java_backend_25_code\week3\spring_boot_again\productapp)
INFO  | 2025-01-29 12:50:33 | [main] boot.SpringApplication (SpringApplication.java:660) - The following 1 profile is active: "dev"
DEBUG | 2025-01-29 12:50:42 | [main] handler.AbstractHandlerMethodMapping (AbstractHandlerMethodMapping.java:366) - 11 mappings in 'requestMappingHandlerMapping'
DEBUG | 2025-01-29 12:50:42 | [main] handler.SimpleUrlHandlerMapping (SimpleUrlHandlerMapping.java:187) - Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
DEBUG | 2025-01-29 12:50:42 | [main] annotation.RequestMappingHandlerAdapter (RequestMappingHandlerAdapter.java:634) - ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
DEBUG | 2025-01-29 12:50:43 | [main] annotation.ExceptionHandlerExceptionResolver (ExceptionHandlerExceptionResolver.java:305) - ControllerAdvice beans: 1 @ExceptionHandler, 1 ResponseBodyAdvice
INFO  | 2025-01-29 12:50:43 | [main] boot.StartupInfoLogger (StartupInfoLogger.java:56) - Started ProductappApplication in 10.241 seconds (process running for 11.477)
INFO  | 2025-01-29 12:51:00 | [http-nio-8090-exec-2] servlet.FrameworkServlet (FrameworkServlet.java:532) - Initializing Servlet 'dispatcherServlet'
DEBUG | 2025-01-29 12:51:00 | [http-nio-8090-exec-2] servlet.DispatcherServlet (DispatcherServlet.java:533) - Detected StandardServletMultipartResolver
DEBUG | 2025-01-29 12:51:00 | [http-nio-8090-exec-2] servlet.DispatcherServlet (DispatcherServlet.java:557) - Detected AcceptHeaderLocaleResolver
DEBUG | 2025-01-29 12:51:00 | [http-nio-8090-exec-2] servlet.DispatcherServlet (DispatcherServlet.java:583) - Detected FixedThemeResolver
DEBUG | 2025-01-29 12:51:00 | [http-nio-8090-exec-2] servlet.DispatcherServlet (DispatcherServlet.java:733) - Detected org.springframework.web.servlet.view.DefaultRequestToViewNameTranslator@3aac31b7
DEBUG | 2025-01-29 12:51:00 | [http-nio-8090-exec-2] servlet.DispatcherServlet (DispatcherServlet.java:797) - Detected org.springframework.web.servlet.support.SessionFlashMapManager@1f5a1ad4
DEBUG | 2025-01-29 12:51:00 | [http-nio-8090-exec-2] servlet.FrameworkServlet (FrameworkServlet.java:549) - enableLoggingRequestDetails='false': request parameters and headers will be masked to prevent unsafe logging of potentially sensitive data
INFO  | 2025-01-29 12:51:00 | [http-nio-8090-exec-2] servlet.FrameworkServlet (FrameworkServlet.java:554) - Completed initialization in 4 ms
DEBUG | 2025-01-29 12:51:00 | [http-nio-8090-exec-2] log.LogFormatUtils (LogFormatUtils.java:120) - GET "/products", parameters={}
DEBUG | 2025-01-29 12:51:00 | [http-nio-8090-exec-2] handler.AbstractHandlerMapping (AbstractHandlerMapping.java:531) - Mapped to com.productapp.controller.ProductController#getProducts()
INFO  | 2025-01-29 12:51:00 | [http-nio-8090-exec-2] service.ProductServiceImpl (ProductServiceImpl.java:25) - **************************************************************
DEBUG | 2025-01-29 12:51:01 | [http-nio-8090-exec-2] annotation.AbstractMessageConverterMethodProcessor (AbstractMessageConverterMethodProcessor.java:275) - Using 'application/json', given [*/*] and supported [application/json, application/*+json]
DEBUG | 2025-01-29 12:51:01 | [http-nio-8090-exec-2] log.LogFormatUtils (LogFormatUtils.java:120) - Writing [[Product(id=1, name=laptop, price=50000.00), Product(id=2, name=mobile, price=5000.00), Product(id=3 (truncated)...]
DEBUG | 2025-01-29 12:51:01 | [http-nio-8090-exec-2] servlet.FrameworkServlet (FrameworkServlet.java:1138) - Completed 200 OK
INFO  | 2025-01-29 14:24:28 | [main] boot.StartupInfoLogger (StartupInfoLogger.java:50) - Starting ProductappApplication using Java 21.0.4 with PID 32660 (C:\SE\Week3-springBoot\productapp\target\classes started by Nitesh.Yadav in C:\SE\Week3-springBoot\productapp)
INFO  | 2025-01-29 14:24:28 | [main] boot.SpringApplication (SpringApplication.java:660) - The following 1 profile is active: "dev"
ERROR | 2025-01-29 14:24:32 | [main] spi.SqlExceptionHelper (SqlExceptionHelper.java:150) - Unknown database 'bootdemo2'
INFO  | 2025-01-29 14:26:06 | [main] boot.StartupInfoLogger (StartupInfoLogger.java:50) - Starting ProductappApplication using Java 21.0.4 with PID 27472 (C:\SE\Week3-springBoot\productapp\target\classes started by Nitesh.Yadav in C:\SE\Week3-springBoot\productapp)
INFO  | 2025-01-29 14:26:06 | [main] boot.SpringApplication (SpringApplication.java:660) - The following 1 profile is active: "dev"
ERROR | 2025-01-29 14:26:10 | [main] spi.SqlExceptionHelper (SqlExceptionHelper.java:150) - Unknown database 'bootdemo2'
INFO  | 2025-01-29 14:29:04 | [main] boot.StartupInfoLogger (StartupInfoLogger.java:50) - Starting ProductappApplication using Java 21.0.4 with PID 13932 (C:\SE\Week3-springBoot\productapp\target\classes started by Nitesh.Yadav in C:\SE\Week3-springBoot\productapp)
INFO  | 2025-01-29 14:29:04 | [main] boot.SpringApplication (SpringApplication.java:660) - The following 1 profile is active: "dev"
DEBUG | 2025-01-29 14:29:09 | [main] handler.AbstractHandlerMethodMapping (AbstractHandlerMethodMapping.java:366) - 11 mappings in 'requestMappingHandlerMapping'
DEBUG | 2025-01-29 14:29:09 | [main] handler.SimpleUrlHandlerMapping (SimpleUrlHandlerMapping.java:187) - Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
DEBUG | 2025-01-29 14:29:09 | [main] annotation.RequestMappingHandlerAdapter (RequestMappingHandlerAdapter.java:634) - ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
DEBUG | 2025-01-29 14:29:09 | [main] annotation.ExceptionHandlerExceptionResolver (ExceptionHandlerExceptionResolver.java:305) - ControllerAdvice beans: 1 @ExceptionHandler, 1 ResponseBodyAdvice
INFO  | 2025-01-29 14:29:09 | [main] boot.StartupInfoLogger (StartupInfoLogger.java:56) - Started ProductappApplication in 5.796 seconds (process running for 6.806)
INFO  | 2025-01-29 14:33:39 | [main] boot.StartupInfoLogger (StartupInfoLogger.java:50) - Starting ProductappApplication using Java 21.0.4 with PID 3272 (C:\SE\Week3-springBoot\productapp\target\classes started by Nitesh.Yadav in C:\SE\Week3-springBoot\productapp)
INFO  | 2025-01-29 14:33:39 | [main] boot.SpringApplication (SpringApplication.java:660) - The following 1 profile is active: "dev"
DEBUG | 2025-01-29 14:33:43 | [main] handler.AbstractHandlerMethodMapping (AbstractHandlerMethodMapping.java:366) - 11 mappings in 'requestMappingHandlerMapping'
DEBUG | 2025-01-29 14:33:43 | [main] handler.SimpleUrlHandlerMapping (SimpleUrlHandlerMapping.java:187) - Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
DEBUG | 2025-01-29 14:33:43 | [main] annotation.RequestMappingHandlerAdapter (RequestMappingHandlerAdapter.java:634) - ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
DEBUG | 2025-01-29 14:33:43 | [main] annotation.ExceptionHandlerExceptionResolver (ExceptionHandlerExceptionResolver.java:305) - ControllerAdvice beans: 1 @ExceptionHandler, 1 ResponseBodyAdvice
INFO  | 2025-01-29 14:33:44 | [main] boot.StartupInfoLogger (StartupInfoLogger.java:56) - Started ProductappApplication in 5.115 seconds (process running for 5.907)
INFO  | 2025-01-29 14:37:23 | [main] boot.StartupInfoLogger (StartupInfoLogger.java:50) - Starting ProductappApplication using Java 21.0.4 with PID 25064 (C:\SE\Week3-springBoot\productapp\target\classes started by Nitesh.Yadav in C:\SE\Week3-springBoot\productapp)
INFO  | 2025-01-29 14:37:23 | [main] boot.SpringApplication (SpringApplication.java:660) - The following 1 profile is active: "dev"
ERROR | 2025-01-29 14:37:27 | [main] spi.SqlExceptionHelper (SqlExceptionHelper.java:150) - Unknown database 'bootdemo'
